Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,TotalQuantity,CustomerTenureDays,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,PreferredTimeOfDay,LoyaltyLevel,ChurnRiskCategory,BasketSizeCategory,RegYear,RegMonth,RegWeekday,IsPrivateIP,MonetaryPerDay,AvgBasketValue,TenureRatio,CancelRate,Country_TargetEnc,CustomerType_Hyperactif,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown,AccountStatus_Active,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended,Churn
88.0,7.0,2005.63,29.934776119402983,35.43095185809055,613.0,286.0,1.0,9.0,9.0,0.0,4.2727272727272725,34.0,4.857142857142857,1.0,0.0,0.0,0.0,0.0,67.0,9.571428571428571,36.0,3.0,3.0,2,2,3,1,3,2,2,2010.0,12.0,0.0,0.0,22.535168539325845,250.70375,0.30662020905923343,0.0,0.3324050632911392,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
374.0,1.0,489.6,37.66153846153846,28.254373952290948,190.0,0.0,2.0,9.0,12.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,13.0,13.0,40.0,2.0,4.0,1,2,1,1,1,3,2,2010.0,2.0,2.0,0.0,1.3056,244.8,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
50.0,3.0,598.83,19.961,5.365604603268926,265.0,323.0,1.0,15.0,6.0,0.0,11.10344827586207,28.0,9.333333333333334,1.0,0.0,0.0,0.0,0.0,30.0,10.0,28.0,2.0,3.0,1,1,2,3,3,1,2,2010.0,9.0,4.0,0.0,11.741764705882353,149.7075,0.15432098765432098,0.0,0.3324050632911392,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
39.0,17.0,5566.8125,61.213884130054346,63.840190572028845,3390.0,335.0,1.0,11.0,10.0,0.0,1.1465201465201464,46.0,0.6052631578947368,1.0,4.0,0.0,4.0,0.08403735130677059,274.0,3.6052631578947367,55.0,2.0,3.0,3,6,3,1,3,1,3,2010.0,9.0,1.0,0.0,272.0067176360225,662.2416883116883,0.11607142857142858,0.08333333333333333,0.3324050632911392,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
261.0,2.0,389.44,16.226666666666667,4.731409999113387,208.0,112.0,2.0,9.0,12.0,0.0,4.869565217391305,22.0,11.0,1.0,0.0,0.0,0.0,0.0,24.0,12.0,46.2,2.0,3.0,1,6,1,1,2,3,2,2010.0,11.0,3.0,0.0,1.486412213740458,129.81333333333333,2.309734513274336,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
36.0,17.0,5566.8125,26.73495833333333,50.20159874263217,2868.0,338.0,3.0,14.0,10.0,0.125,1.3849372384937235,163.0,9.055555555555555,1.0,4.0,0.0,4.0,0.0166666666666666,240.0,13.333333333333334,70.0,2.0,1.0,3,5,3,3,3,1,2,2010.0,9.0,6.0,0.0,173.41594594594594,337.7047368421052,0.10619469026548672,0.016597510373443983,0.3333333333333333,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
3.0,17.0,5566.8125,61.213884130054346,63.840190572028845,3390.0,370.0,2.0,11.0,12.0,0.0,0.3255813953488372,263.0,10.152173913043478,1.0,4.0,0.0,4.0,0.08403735130677059,357.0,23.39130434782609,53.0,4.0,2.0,3,3,3,1,4,0,3,2010.0,9.0,6.0,0.0,272.0067176360225,776.3600000000001,0.008086253369272238,0.08333333333333333,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
218.0,3.0,-141.48,-8.32235294117647,21.79515184892381,-132.0,155.0,2.0,10.0,12.0,0.0,9.6875,12.0,4.0,1.0,4.0,0.0,4.0,0.08403735130677059,17.0,5.666666666666667,50.2,2.0,4.0,0,6,0,1,2,3,1,2010.0,7.0,2.0,0.0,-0.6460273972602739,-35.37,1.3974358974358974,0.08333333333333333,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
8.0,3.0,711.86,25.423571428571428,29.77312934874216,363.0,366.0,0.0,9.0,12.0,0.0,12.212389380530974,25.0,8.333333333333334,1.0,0.0,0.0,0.0,0.0,28.0,9.333333333333334,41.0,1.0,5.0,2,2,2,1,4,0,2,2010.0,10.0,6.0,0.0,79.09555555555556,177.965,0.021798365122615803,0.0,0.3324050632911392,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
374.0,1.0,79.6,61.213884130054346,0.0,8.0,0.0,2.0,10.0,12.0,0.0,1.15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,2.0,3.0,0,6,0,1,1,3,2,2010.0,6.0,5.0,0.0,0.21226666666666666,39.8,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
2.0,17.0,5566.8125,54.86508982035928,50.54074055098437,3390.0,371.0,2.0,12.0,12.0,0.1816367265469061,0.688,236.0,2.9135802469135803,1.0,4.0,0.0,4.0,0.0459081836327345,357.0,6.185185185185185,56.6,2.0,5.0,3,6,3,2,4,0,3,2010.0,12.0,2.0,0.0,272.0067176360225,335.2123170731707,0.005376344086021506,0.045816733067729085,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
2.0,17.0,5566.8125,42.47045112781954,55.98517467790531,3390.0,371.0,0.0,14.0,12.0,0.0927318295739348,0.8793969849246231,55.0,1.0576923076923077,1.0,4.0,0.0,4.0,0.0776942355889724,357.0,7.673076923076923,70.0,2.0,4.0,3,5,3,3,4,0,3,2010.0,2.0,5.0,0.0,272.0067176360225,319.73037735849056,0.005376344086021506,0.0775,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
1.0,13.0,2894.33,61.213884130054346,63.840190572028845,1141.0,372.0,0.0,10.0,10.0,0.0,9.91891891891892,27.0,2.076923076923077,1.0,4.0,0.0,4.0,0.08403735130677059,38.0,2.923076923076923,19.0,2.0,1.0,3,0,3,1,4,0,3,2010.0,1.0,4.0,0.0,272.0067176360225,206.73785714285714,0.002680965147453083,0.08333333333333333,0.3324050632911392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
17.0,10.0,3465.6700000000005,17.415427135678396,13.9076639976737,1638.0,357.0,1.0,12.0,9.0,0.0,1.7828282828282829,137.0,13.7,1.0,4.0,0.0,4.0,0.0201005025125628,199.0,19.9,69.8,3.0,1.0,3,6,3,2,3,0,2,2010.0,10.0,1.0,0.0,192.53722222222225,315.06090909090915,0.04748603351955307,0.02,0.3324050632911392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
8.0,4.0,832.88,5.665850340136054,6.137081078919305,585.0,365.0,3.0,11.0,12.0,0.0,2.493150684931507,142.0,35.5,1.0,0.0,0.0,0.0,0.0,147.0,36.75,61.0,1.0,1.0,2,4,2,1,4,0,1,2010.0,9.0,3.0,0.0,92.54222222222222,166.576,0.02185792349726776,0.0,0.3324050632911392,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
31.0,17.0,5566.8125,46.24229299363058,49.33480116740088,3390.0,342.0,3.0,12.0,3.0,0.1687898089171974,1.0702875399361025,183.0,8.318181818181818,1.0,4.0,0.0,4.0,0.019108280254777,314.0,14.272727272727272,47.0,3.0,5.0,3,3,3,2,3,1,3,2010.0,7.0,5.0,0.0,272.0067176360225,631.3078260869567,0.09037900874635568,0.01904761904761905,0.3324050632911392,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
374.0,1.0,192.6,61.213884130054346,63.840190572028845,97.0,0.0,2.0,11.0,12.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,55.0,3.0,2.0,0,4,1,1,1,3,3,2010.0,10.0,0.0,0.0,0.5136,96.3,187.72727272727272,0.0,0.3333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
30.0,8.0,3054.87,33.943,28.548470411021825,2077.0,343.0,2.0,11.0,12.0,0.0666666666666666,3.831460674157303,56.0,7.0,1.0,4.0,0.0,4.0,0.0666666666666666,90.0,11.25,51.4,3.0,3.0,3,6,3,1,3,0,3,2010.0,12.0,1.0,0.0,98.5441935483871,339.43,0.0872093023255814,0.06593406593406594,0.3324050632911392,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
109.0,4.0,1659.75,61.213884130054346,63.840190572028845,535.0,264.0,3.0,8.0,1.0,0.0,12.212389380530974,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.5,77.0,2.0,5.0,2,5,2,1,3,3,3,2010.0,1.0,6.0,0.0,15.088636363636363,331.95,0.41132075471698115,0.0,0.3324050632911392,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
89.0,6.0,2995.72,16.642888888888887,7.1135332104509565,2058.0,284.0,2.0,9.0,12.0,0.0,1.5754189944134078,150.0,25.0,1.0,0.0,0.0,0.0,0.0,180.0,30.0,38.0,3.0,4.0,2,2,3,1,3,2,2,2010.0,11.0,0.0,0.0,33.285777777777774,427.96,0.312280701754386,0.0,0.3324050632911392,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
374.0,1.0,243.28,4.194482758620689,3.4974608194957733,173.0,0.0,2.0,11.0,12.0,0.0,0.0,51.0,51.0,1.0,0.0,0.0,0.0,0.0,58.0,58.0,50.0,2.0,1.0,0,3,1,1,1,3,1,2010.0,10.0,5.0,0.0,0.6487466666666667,121.64,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
4.0,17.0,4204.1,6.040373563218392,8.370918354927017,2516.0,369.0,4.0,14.0,12.0,0.2183908045977011,0.516546762589928,263.0,23.94117647058824,1.0,0.0,0.0,0.0,0.0,357.0,40.94117647058823,39.8,3.0,3.0,3,6,3,3,4,0,1,2010.0,11.0,0.0,0.0,272.0067176360225,233.56111111111113,0.010810810810810811,0.0,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
34.0,2.0,683.13,5.55390243902439,5.618184123261079,359.0,340.0,6.0,12.0,11.0,0.3333333333333332,2.78688524590164,115.0,57.5,1.0,0.0,0.0,0.0,0.0,123.0,61.5,75.0,2.0,1.0,1,5,2,2,3,1,1,2010.0,10.0,3.0,0.0,19.518,227.71,0.09970674486803519,0.0,0.3324050632911392,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
4.0,3.0,390.66,27.90428571428572,23.04183209672413,174.0,369.0,2.0,13.0,11.0,0.0,12.212389380530974,13.0,4.333333333333333,1.0,1.0,0.0,1.0,0.0714285714285714,14.0,4.666666666666667,39.0,1.0,1.0,2,2,1,2,4,0,2,2010.0,9.0,4.0,0.0,78.132,97.665,0.010810810810810811,0.06666666666666667,0.3324050632911392,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
374.0,1.0,233.45,16.675,1.976472187432018,111.0,0.0,2.0,12.0,12.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,14.0,78.0,2.0,1.0,0,5,1,2,1,3,2,2010.0,6.0,1.0,0.0,0.6225333333333333,116.725,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
330.0,2.0,689.9499999999999,23.791379310344823,17.99679569180063,265.0,43.0,3.0,15.0,1.0,0.0,1.5357142857142858,25.0,12.5,1.0,0.0,0.0,0.0,0.0,29.0,14.5,61.0,2.0,2.0,1,4,2,3,2,3,2,2010.0,3.0,5.0,0.0,2.084441087613293,229.98333333333332,7.5,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
12.0,7.0,3190.55,27.26965811965812,22.17251330891097,1844.0,361.0,6.0,15.0,5.0,0.3333333333333332,3.0948275862068964,104.0,14.857142857142858,1.0,0.0,0.0,0.0,0.0,117.0,16.714285714285715,48.6,3.0,3.0,3,6,3,3,3,0,3,2010.0,8.0,1.0,0.0,245.4269230769231,398.81875,0.03314917127071823,0.0,0.3324050632911392,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
4.0,17.0,5566.8125,61.213884130054346,63.840190572028845,3390.0,369.0,3.0,12.0,8.0,0.0119658119658119,0.5941780821917808,263.0,6.15,1.0,4.0,0.0,4.0,0.029059829059829,357.0,9.75,53.0,3.0,5.0,3,6,3,2,4,0,3,2010.0,8.0,1.0,0.0,272.0067176360225,776.3600000000001,0.010810810810810811,0.02901023890784983,0.3324050632911392,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
22.0,4.0,1475.02,13.053274336283186,15.413203838782298,892.0,351.0,3.0,12.0,12.0,0.0,3.125,82.0,20.5,1.0,0.0,0.0,0.0,0.0,113.0,28.25,44.0,3.0,3.0,3,2,2,2,3,0,2,2010.0,1.0,4.0,0.0,64.13130434782609,295.004,0.0625,0.0,0.3324050632911392,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
22.0,17.0,5566.8125,20.16397959183673,14.508505979568442,3390.0,351.0,3.0,11.0,6.0,0.0,0.887468030690537,159.0,5.678571428571429,1.0,4.0,0.0,4.0,0.010204081632653,357.0,14.0,76.0,2.0,4.0,3,5,3,1,3,0,2,2010.0,8.0,1.0,0.0,272.0067176360225,272.5613793103449,0.0625,0.010178117048346057,0.3324050632911392,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
374.0,1.0,277.35,3.2629411764705885,2.852236308720635,160.0,0.0,2.0,12.0,12.0,0.0,0.0,74.0,66.54545454545455,1.0,0.0,0.0,0.0,0.0,85.0,76.85,80.0,1.0,0.0,0,5,1,2,1,3,1,2010.0,10.0,6.0,0.0,0.7396,138.675,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
2.0,17.0,5566.8125,61.213884130054346,63.840190572028845,3390.0,372.0,2.0,12.0,12.0,0.0,2.9836065573770494,74.0,4.111111111111111,1.0,0.0,0.0,0.0,0.0,123.0,6.833333333333333,56.6,2.0,5.0,3,6,3,2,4,0,3,2010.0,12.0,2.0,0.0,272.0067176360225,776.3600000000001,0.005361930294906166,0.0,0.3324050632911392,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
173.0,4.0,541.1,4.705217391304348,8.761843448168955,223.0,200.0,0.0,11.0,12.0,0.0,1.7543859649122806,100.0,25.0,1.0,1.0,0.0,1.0,0.008695652173913,115.0,28.75,45.0,2.0,3.0,1,3,2,1,3,3,1,2010.0,9.0,5.0,0.0,3.109770114942529,108.22,0.8606965174129353,0.008620689655172414,0.3324050632911392,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
24.0,17.0,3925.92,9.369737470167063,16.0671952539341,2075.0,349.0,0.0,10.0,11.0,0.1408114558472553,0.8157894736842105,191.0,9.095238095238097,1.0,1.0,0.0,1.0,0.0023866348448687,357.0,19.95238095238096,77.0,3.0,3.0,3,5,3,1,3,0,1,2010.0,11.0,0.0,0.0,157.0368,178.4509090909091,0.06857142857142857,0.002380952380952381,0.3324050632911392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
243.0,2.0,379.73,22.33705882352941,18.437844154315428,219.0,130.0,0.0,10.0,4.0,0.0,8.125,17.0,8.5,1.0,0.0,0.0,0.0,0.0,17.0,8.5,33.0,1.0,2.0,1,1,1,1,2,3,2,2010.0,8.0,1.0,0.0,1.5562704918032788,126.57666666666667,1.8549618320610688,0.0,0.3324050632911392,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
57.0,2.0,239.92,10.431304347826083,21.67213739183182,241.0,316.0,3.0,14.0,10.0,0.0,12.212389380530974,23.0,11.5,1.0,0.0,0.0,0.0,0.0,23.0,11.5,32.0,2.0,3.0,1,1,1,3,3,1,2,2010.0,8.0,2.0,0.0,4.136551724137931,79.97333333333333,0.17981072555205047,0.0,0.3324050632911392,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
40.0,4.0,990.8400000000004,47.18285714285715,50.33315379974289,610.0,333.0,0.0,12.0,10.0,0.0,12.212389380530974,18.0,4.5,1.0,1.0,0.0,1.0,0.0476190476190476,21.0,5.25,42.2,1.0,4.0,2,6,2,2,3,1,3,2010.0,11.0,3.0,0.0,24.16682926829269,198.16800000000006,0.11976047904191617,0.045454545454545456,0.3324050632911392,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
374.0,1.0,313.49000000000007,4.415352112676057,3.77889206400346,197.0,0.0,2.0,12.0,12.0,0.0,0.0,69.0,66.54545454545455,1.0,0.0,0.0,0.0,0.0,71.0,71.0,79.0,3.0,3.0,1,5,1,2,1,3,1,2010.0,3.0,4.0,0.0,0.8359733333333335,156.74500000000003,187.72727272727272,0.0,0.3324050632911392,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
